attraction_name,district,category,review_text,sentiment
ถนนชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,ดอกไม้สวยงามมาก แต่ช่วงที่บานคนเยอะมาก รถติดยาวตลอดเส้นทาง หาที่จอดยาก,neutral
ถนนชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,ดอกไม้โรยเร็วมาก ถ้ามาไม่ถูกจังหวะจะไม่เห็นดอกไม้เลย ควรเช็คหน้าเพจก่อนเดินทาง,negative
เซ็นทรัล ศาลายา,สามพราน,นันทนาการและพักผ่อน,ห้างใหญ่ แอร์เย็นสบาย ร้านอาหารและร้านค้าครบครัน มีที่จอดรถสะดวกสบาย,positive
เซ็นทรัล ศาลายา,สามพราน,นันทนาการและพักผ่อน,ช่วงวันหยุดคนเยอะ ที่จอดรถค่อนข้างเต็ม แต่การบริการโดยรวมได้มาตรฐาน,neutral
ตลาดโต้รุ่ง องค์พระปฐมเจดีย์,เมืองนครปฐม,นันทนาการและพักผ่อน,สวรรค์ของคนชอบกิน หอยทอด บัวลอย ไอติมลอยฟ้า อร่อยระดับตำนาน,positive
ตลาดโต้รุ่ง องค์พระปฐมเจดีย์,เมืองนครปฐม,นันทนาการและพักผ่อน,ของกินเยอะมาก อร่อยทุกร้าน แต่หาโต๊ะนั่งยากมากในช่วงค่ำ,neutral
ตลาดโต้รุ่ง องค์พระปฐมเจดีย์,เมืองนครปฐม,นันทนาการและพักผ่อน,หาที่จอดรถยากมากรอบองค์พระ รถติดวนหลายรอบกว่าจะได้จอด,negative
พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,นครชัยศรี,ศิลปะและวิทยาการ,หุ่นขี้ผึ้งเหมือนคนจริงมาก มีความประณีตละเอียดอ่อน ให้ความรู้ทางประวัติศาสตร์ดีมาก,positive
พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,นครชัยศรี,ศิลปะและวิทยาการ,สถานที่ไม่ใหญ่มาก ใช้เวลาเดินประมาณหนึ่งชั่วโมง เหมาะแก่การแวะระหว่างทาง,neutral
พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,นครชัยศรี,ศิลปะและวิทยาการ,สถานที่ค่อนข้างเก่า ขาดการปรับปรุงนิทรรศการใหม่ๆ ค่าเข้าชมแอบแพงไปนิดเมื่อเทียบกับขนาด,negative
สวนสามพราน,สามพราน,นันทนาการและพักผ่อน,ธรรมชาติร่มรื่นริมแม่น้ำ มีกิจกรรมวิถีไทยและตลาดสุขใจสินค้าเกษตรอินทรีย์ยอดเยี่ยม,positive
สวนสามพราน,สามพราน,นันทนาการและพักผ่อน,บรรยากาศสงบ เหมาะแก่การพาครอบครัวมาพักผ่อนในวันหยุดสุดสัปดาห์,positive
สวนสามพราน,สามพราน,นันทนาการและพักผ่อน,ค่าเข้าและกิจกรรมบางอย่างค่อนข้างมีราคา แต่แลกกับความเงียบสงบและธรรมชาติ,neutral
ลานแสดงช้างและฟาร์มจระเข้สามพราน,สามพราน,นันทนาการและพักผ่อน,การแสดงจับจระเข้ด้วยมือเปล่าและการแสดงช้างน่าตื่นเต้นมาก เด็กๆ ชอบมาก,positive
ลานแสดงช้างและฟาร์มจระเข้สามพราน,สามพราน,นันทนาการและพักผ่อน,การแสดงตื่นตาตื่นใจดี แต่อาคารและกรงสัตว์บางจุดดูเก่าไปหน่อย,neutral
ลานแสดงช้างและฟาร์มจระเข้สามพราน,สามพราน,นันทนาการและพักผ่อน,สถานที่เริ่มทรุดโทรม กลิ่นคอกสัตว์ค่อนข้างแรง ควรปรับปรุงภูมิทัศน์,negative
นิตาธร ทะเลน้ำจืด,กำแพงแสน,นันทนาการและพักผ่อน,สวนน้ำและหาดทรายน้ำจืด บรรยากาศชิลๆ อาหารราคาไม่แพง เด็กๆ เล่นน้ำสนุกสนาน,positive
นิตาธร ทะเลน้ำจืด,กำแพงแสน,นันทนาการและพักผ่อน,แดดร้อนมากช่วงกลางวัน ซุ้มนั่งริมน้ำมีจำกัด ถ้ามาสายจะไม่มีที่นั่ง,neutral
นิตาธร ทะเลน้ำจืด,กำแพงแสน,นันทนาการและพักผ่อน,น้ำไม่ค่อยใสเท่าที่ควร และห้องน้ำห้องอาบน้ำไม่ค่อยสะอาด,negative
อุทยานธรรมชาติวิทยาสิรีรุกขชาติ (มหาลัยมหิดล),พุทธมณฑล,ธรรมชาติ,สวนสมุนไพรที่ใหญ่และสมบูรณ์ที่สุด ร่มรื่น มีป้ายให้ความรู้ชัดเจน,positive
อุทยานธรรมชาติวิทยาสิรีรุกขชาติ (มหาลัยมหิดล),พุทธมณฑล,ธรรมชาติ,สงบเงียบ เหมาะแก่การเดินศึกษาธรรมชาติ มีรถรางบริการชมสวน,positive
อุทยานธรรมชาติวิทยาสิรีรุกขชาติ (มหาลัยมหิดล),พุทธมณฑล,ธรรมชาติ,ต้องเช็ครอบรถรางล่วงหน้า เดินเองอากาศค่อนข้างร้อน,neutral
ชุมชนบ้านศาลาดิน,พุทธมณฑล,เกษตรกรรม,ล่องเรือชมคลองมหาสวัสดิ์ แวะนาบัวและสวนผลไม้ วิถีชุมชนแท้ๆ ประทับใจมาก,positive
ชุมชนบ้านศาลาดิน,พุทธมณฑล,เกษตรกรรม,ได้ลองทำข้าวตังและชิมผลไม้สดจากสวน ชาวบ้านต้อนรับอบอุ่นและเป็นกันเอง,positive
ชุมชนบ้านศาลาดิน,พุทธมณฑล,เกษตรกรรม,การเดินทางเข้าชุมชนถนนค่อนข้างแคบ ต้องขับรถระมัดระวัง,neutral
วัดบางพระ,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,บารมีหลวงพ่อเปิ่น ขึ้นชื่อเรื่องการสักยันต์และพุทธคุณ วัดติดแม่น้ำนครชัยศรี บรรยากาศดี,positive
วัดบางพระ,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,คนมาทำบุญและสักยันต์เยอะมาก วัดกว้างขวาง ร่มรื่น,positive
วัดบางพระ,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,วันงานไหว้ครูคนมหาศาล การจราจรติดขัดมาก ควรเตรียมตัวให้พร้อม,neutral
วัดสามพราน,สามพราน,ประวัติศาสตร์และวัฒนธรรม,ตึกมังกรตะกายฟ้าสีชมพู อลังการ แปลกตา ถ่ายรูปสวยมาก นักท่องเที่ยวต่างชาตินิยม,positive
วัดสามพราน,สามพราน,ประวัติศาสตร์และวัฒนธรรม,เดินขึ้นอุโมงค์ตัวมังกรไปด้านบนได้วิว 360 องศา สวยงาม คุ้มค่าเหนื่อย,positive
วัดสามพราน,สามพราน,ประวัติศาสตร์และวัฒนธรรม,ทางเดินในตัวมังกรค่อนข้างมืดและชัน ผู้สูงอายุอาจจะเดินลำบากนิดหน่อย,neutral
ตลาดบางหลวง ร.ศ.122,บางเลน,นันทนาการและพักผ่อน,ตลาดเก่าริมน้ำ บรรยากาศย้อนยุค บ้านไม้โบราณ ขนมเปี๊ยะและก๋วยเตี๋ยวบกอร่อย,positive
ตลาดบางหลวง ร.ศ.122,บางเลน,นันทนาการและพักผ่อน,เงียบสงบ ไม่พลุกพล่าน เหมาะกับคนที่ชอบความคลาสสิกและวิถีชีวิตดั้งเดิม,positive
ตลาดบางหลวง ร.ศ.122,บางเลน,นันทนาการและพักผ่อน,ร้านค้าเปิดไม่ครบทุกร้าน บางวันดูเงียบเหงาไปหน่อย,neutral
วัดสี่แยกเจริญพร,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,ไหว้หลวงปู่หลิวประทับพญาเต่าเรือน ป้อนกะหล่ำปลีเต่า วัดจัดภูมิทัศน์สวยงาม,positive
วัดสี่แยกเจริญพร,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,มีทุ่งดอกไม้ให้ถ่ายรูป วัดสะอาด สะดวกสบาย เหมาะกับครอบครัว,positive
วัดสี่แยกเจริญพร,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,แดดร้อนช่วงกลางวัน ลานจอดรถไม่มีร่มเงา,neutral
วัดกลางบางแก้ว,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,วัดเก่าแก่ริมแม่น้ำ มีพิพิธภัณฑ์พระพุทธวิถีนายก จัดแสดงโบราณวัตถุล้ำค่ามากมาย,positive
วัดกลางบางแก้ว,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,สงบ ร่มเย็น สถาปัตยกรรมงดงาม มีคุณค่าทางประวัติศาสตร์อย่างยิ่ง,positive
วัดกลางบางแก้ว,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,พิพิธภัณฑ์เปิดเฉพาะบางวัน ควรโทรเช็ควันเวลาเปิดล่วงหน้า,neutral
เซ็นทรัลนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,ห้างใหม่ล่าสุด ดีไซน์สวยงามผสมผสานเอกลักษณ์เมืองนครปฐม ร้านค้าทันสมัยครบครัน,positive
เซ็นทรัลนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,โซนกึ่งกลางแจ้งออกแบบสวย มีพื้นที่สีเขียวให้นั่งพักผ่อน บรรยากาศดีมาก,positive
เซ็นทรัลนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,ช่วงเปิดใหม่คนเยอะมาก ทางเข้าห้างช่วงวันหยุดรถติดพอสมควร,neutral
ตลาดโบราณ 100 ปี รางกระทุ่ม,บางเลน,นันทนาการและพักผ่อน,ตลาดเล็กๆ ที่เปี่ยมด้วยเสน่ห์ อาหารพื้นบ้านรสชาติดั้งเดิม ราคาถูกมาก,positive
ตลาดโบราณ 100 ปี รางกระทุ่ม,บางเลน,นันทนาการและพักผ่อน,วิถีชุมชนเรียบง่าย พ่อค้าแม่ค้าใจดี แต่เปิดเฉพาะวันหยุด,neutral
ตลาดโบราณ 100 ปี รางกระทุ่ม,บางเลน,นันทนาการและพักผ่อน,ร้านค้ามีค่อนข้างน้อย เดินแป๊บเดียวหมด เหมาะเป็นจุดแวะพักสั้นๆ,neutral
ฟาร์มไส้เดือนนาน้อย,บางเลน,ธรรมชาติ,แหล่งเรียนรู้เชิงนิเวศน์ที่ดี ได้ความรู้เรื่องปุ๋ยอินทรีย์และการเกษตรยั่งยืน เจ้าของอัธยาศัยดี,positive
ฟาร์มไส้เดือนนาน้อย,บางเลน,ธรรมชาติ,เหมาะสำหรับพาเด็กๆ และผู้สนใจการเกษตรอินทรีย์มาศึกษาดูงาน ได้ลงมือทำจริง,positive
ฟาร์มไส้เดือนนาน้อย,บางเลน,ธรรมชาติ,สถานที่ไม่ใหญ่มาก อยู่ค่อนข้างลึกในชนบท ต้องตั้ง GPS ดีๆ,neutral
สวนอินทผลัมวัฒนา,ดอนตูม,เกษตรกรรม,อินทผลัมสดๆ จากต้น หวานกรอบ อร่อยมาก มีน้ำอินทผลัมปั่นรสชาติเยี่ยม,positive
สวนอินทผลัมวัฒนา,ดอนตูม,เกษตรกรรม,เจ้าของสวนใจดี ให้ชิมไม่อั้นก่อนซื้อ บรรยากาศในสวนร่มรื่นเป็นกันเอง,positive
สวนอินทผลัมวัฒนา,ดอนตูม,เกษตรกรรม,ผลผลิตจะมีเฉพาะช่วงฤดูกาลเท่านั้น ควรโทรสอบถามช่วงเวลาเก็บเกี่ยวก่อนมา,neutral
อุโมงค์ชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,มุมถ่ายรูปต้นไม้ทอดยาวเป็นอุโมงค์ สวยงามมาก ถ่ายรูปออกมาปังสุดๆ,positive
อุโมงค์ชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,คนเยอะมาก ยืนรอจังหวะถ่ายรูปนาน อากาศร้อน แนะนำเตรียมอุปกรณ์กันแดดมาด้วย,neutral
บ้านรังนกThe Happy Nest,บางเลน,นันทนาการและพักผ่อน,คาเฟ่ริมน้ำตกแต่งสไตล์รังนก แปลกใหม่น่ารัก อาหารและขนมอร่อย บรรยากาศดี,positive
บ้านรังนกThe Happy Nest,บางเลน,นันทนาการและพักผ่อน,มุมถ่ายรูปเยอะมาก นั่งชิลรับลมริมน้ำเพลินๆ แนะนำสำหรับสายถ่ายรูป,positive
บ้านรังนกThe Happy Nest,บางเลน,นันทนาการและพักผ่อน,โต๊ะริมน้ำคิวค่อนข้างยาวในวันหยุด ต้องรอคิวนานหน่อย,neutral
บ้านรังนกThe Happy Nest,บางเลน,นันทนาการและพักผ่อน,ราคาอาหารและเครื่องดื่มค่อนข้างแรงเมื่อเทียบกับปริมาณ,negative
สวนส้มโอนครชัยศรีลุงแดง,นครชัยศรี,เกษตรกรรม,ส้มโอพันธุ์ขาวน้ำผึ้งและทองดีหวานฉ่ำ เนื้อแน่น อร่อยสมชื่อส้มโอนครชัยศรี,positive
สวนส้มโอนครชัยศรีลุงแดง,นครชัยศรี,เกษตรกรรม,ได้ความรู้เรื่องการปลูกส้มโอ และได้ซื้อของฝากคุณภาพดีตรงจากสวน,positive
สวนส้มโอนครชัยศรีลุงแดง,นครชัยศรี,เกษตรกรรม,ทางเข้าสวนเป็นซอยเล็ก รถใหญ่สวนกันลำบาก,neutral
วัดใหม่สุปดิษฐาราม,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,วัดสวยริมน้ำนครชัยศรี โดดเด่นด้วยวิหารสีทองและพระอินทร์ทรงช้างเอราวัณ,positive
วัดใหม่สุปดิษฐาราม,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,สถานที่สะอาด สงบ ร่มเย็น มีจุดกราบไหว้ขอพรเสริมสิริมงคลมากมาย,positive
วัดใหม่สุปดิษฐาราม,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,ช่วงวันหยุดคนค่อนข้างเยอะ ที่จอดรถต้องจัดระเบียบเพิ่ม,neutral
วัดเจริญราษฎร์บำรุง (วัดหนองพงนก),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,พระพุทธรูปปางสมเด็จองค์ปฐมทรงเครื่องมหาจักรพรรดิ สวยงามวิจิตรอลังการมาก,positive
วัดเจริญราษฎร์บำรุง (วัดหนองพงนก),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,วัดเงียบสงบ มีระเบียบ ศาลาไม้สักทองหลังใหญ่สวยงามจับตา,positive
วัดเจริญราษฎร์บำรุง (วัดหนองพงนก),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,ระยะทางไกลจากตัวเมืองนครปฐมพอสมควร เหมาะกับคนที่มีรถส่วนตัว,neutral
วัดสามง่าม (วัดอรัญญิการาม),ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,ต้นตำรับกุมารทองหลวงพ่อเต๋ คงทอง วัดมีมนต์ขลังและประวัติศาสตร์ยาวนาน,positive
วัดสามง่าม (วัดอรัญญิการาม),ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,สายเครื่องรางของขลังต้องมาสักการะ บรรยากาศวัดร่มรื่น สงบเงียบ,positive
วัดสามง่าม (วัดอรัญญิการาม),ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,อยู่ในอำเภอดอนตูม ค่อนข้างห่างไกล ควรวางแผนเส้นทางร่วมกับจุดอื่น,neutral
วัดปลักไม้ลาย,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,วัดป่าปฏิบัติธรรม บรรยากาศสวนป่าสมุนไพร เงียบสงบร่มเย็น จิตใจผ่องใสมาก,positive
วัดปลักไม้ลาย,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,เหมาะสำหรับผู้ที่ต้องการความสงบ นั่งสมาธิ ปฏิบัติธรรม หลีกหนีความวุ่นวาย,positive
วัดปลักไม้ลาย,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,ไม่ใช่สถานที่ท่องเที่ยวเชิงบันเทิง ควรงดส่งเสียงดังและแต่งกายสุภาพเรียบร้อย,neutral
วัดไผ่ล้อม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,สรีระสังขารหลวงพ่อพูลไม่เน่าเปื่อย กราบไหว้ขอพรเพื่อความเป็นสิริมงคล,positive
วัดไผ่ล้อม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,วัดอยู่ในเมือง เดินทางสะดวก มีสิ่งศักดิ์สิทธิ์ให้กราบไหว้หลายจุด,positive
วัดไผ่ล้อม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,มีร้านค้าและจุดเช่าบูชาวัตถุมงคลค่อนข้างแน่น ทำให้บรรยากาศดูเชิงพาณิชย์ไปบ้าง,neutral
วัดป่าปฐมชัย,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,วัดป่าสายกรรมฐานในเมือง บรรยากาศเงียบสงบ ต้นไม้ร่มรื่น จิตใจสงบมาก,positive
วัดป่าปฐมชัย,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,พระอาจารย์เมตตามาก เหมาะกับการมาทำบุญตักบาตรช่วงเช้า,positive
วัดป่าปฐมชัย,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,ควรสำรวมกายวาจาใจเนื่องจากเป็นสถานที่ปฏิบัติธรรมเคร่งครัด,neutral
ถนนคนเดินทวารวดี,เมืองนครปฐม,นันทนาการและพักผ่อน,บรรยากาศน่าเดิน มีการแสดงดนตรีเปิดหมวกและสินค้าทำมือ สินค้าชุมชนหลากหลาย,positive
